CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
25;233284;520328;22750;59,2;12,1;20,6;14,0;13,7;10,9;8,2;8,1;5,0;26,4;76,9;69,1;2,9;4,9;26,7;7,6;5,5;2,0;2,3;1,2;-16,7;12420;41210;3,3
26;224412;505019;21260;53,5;14,6;20,9;17,3;17,6;14,3;10,5;9,5;7,2;29,0;67,8;58,8;3,2;5,8;30,9;10,8;6,2;2,3;2,5;1,4;-15,7;11700;36280;3,1
27;248333;586829;21790;58,0;12,5;19,7;15,4;14,4;11,9;8,2;7,3;5,6;27,3;71,9;64,6;2,9;4,4;29,7;7,5;6,4;2,5;2,7;1,2;-15,5;12290;35630;2,9
28;181980;426621;22180;59,7;11,9;18,3;14,6;14,2;11,6;7,9;6,7;5,3;27,1;72,3;64,5;2,8;5,0;30,0;8,1;5,6;2,4;2,1;1,1;-16,0;12450;36280;2,9
29;414985;889110;21970;55,0;10,4;19,6;12,2;11,5;10,5;6,9;8,1;5,7;25,1;66,2;57,2;2,8;6,2;35,2;8,7;5,5;2,0;2,4;1,1;-15,6;12990;35790;2,8
2A;60125;124671;21900;59,2;16,0;19,3;16,6;17,3;15,6;14,3;16,6;9,2;25,0;69,6;58,9;2,7;8,0;31,4;12,2;5,3;1,3;2,9;1,1;-18,5;11210;39480;3,5
2B;66783;136628;20150;50,7;19,8;25,7;21,9;22,3;19,6;16,7;18,9;11,7;30,7;66,4;54,4;2,7;9,3;32,7;10,7;6,9;1,5;3,9;1,5;-16,7;10410;36640;3,5
30;328258;730910;20240;50,0;19,6;29,7;23,1;22,7;19,7;15,2;12,7;9,5;36,2;65,1;55,6;3,4;6,1;33,1;9,7;7,7;2,3;3,6;1,8;-15,6;10420;35360;3,4
31;604769;1332671;23380;61,4;13,2;25,0;14,2;13,7;11,8;9,0;9,8;5,0;25,7;79,9;71,4;3,0;5,5;23,2;9,2;6,0;1,9;2,7;1,4;-18,3;11960;41480;3,5
32;85940;183465;20950;49,5;14,7;22,3;16,4;15,6;14,7;11,4;15,3;9,7;27,6;63,1;53,3;2,5;7,3;35,3;10,7;5,8;1,8;2,8;1,2;-14,9;11650;35200;3,0
33;714697;1584096;22640;60,0;12,6;22,7;14,1;13,4;12,0;8,7;9,0;5,7;23,5;75,0;65,7;3,2;6,1;27,6;9,7;5,5;1,8;2,5;1,2;-17,8;12200;39520;3,2
34;519281;1120081;20640;52,1;19,0;31,7;21,9;21,6;19,2;13,8;12,2;9,0;33,1;67,5;56,8;3,7;7,0;31,3;10,5;7,5;2,2;3,5;1,8;-16,8;10500;37240;3,5
35;454126;1035134;22460;57,5;10,3;20,1;12,0;10,7;9,1;6,5;7,4;5,0;23,8;75,2;67,2;2,7;5,3;26,3;9,4;5,7;2,2;2,3;1,2;-16,6;13050;37440;2,9
36;102911;210919;20370;48,7;14,5;24,1;18,9;16,9;14,3;10,2;10,5;8,1;29,9;60,8;52,8;2,6;5,4;38,1;8,5;6,5;1,9;3,2;1,4;-13,9;11770;32630;2,8
37;272234;595488;22000;56,3;12,6;23,6;15,1;13,7;12,0;8,3;7,9;5,0;27,0;70,7;63,0;2,8;4,9;31,1;8,7;5,8;2,0;2,5;1,3;-16,3;12220;37340;3,1
38;526917;1227083;23030;61,2;11,5;20,5;13,8;13,1;10,3;7,6;7,6;5,0;25,3;75,2;68,0;2,8;4,4;26,9;9,7;5,2;2,1;2,0;1,1;-17,0;12600;39180;3,1
39;116450;254286;21880;55,9;11,4;16,9;13,4;13,4;11,0;8,1;8,7;5,9;24,9;69,8;62,1;2,7;5,0;32,5;8,0;5,1;1,9;2,2;1,0;-15,4;12660;37140;2,9
40;189703;415208;21620;54,9;11,5;18,4;13,5;13,3;11,8;7,9;9,3;6,5;23,0;64,2;55,1;3,2;5,9;35,9;9,6;5,3;1,8;2,4;1,1;-15,0;12640;35280;2,8
41;147187;323536;21530;55,4;12,5;19,6;16,8;15,4;12,0;7,9;7,3;5,9;28,9;65,8;58,0;2,7;5,1;35,2;8,5;5,7;2,1;2,5;1,1;-15,2;12300;35070;2,9
42;330038;741756;20930;51,2;15,1;26,1;18,3;17,8;14,7;9,6;9,0;6,2;31,6;67,6;60,0;2,8;4,8;31,4;9,4;6,8;2,5;2,8;1,5;-15,2;11500;34710;3,0
43;102014;223653;21000;48,7;11,9;17,2;13,3;13,2;11,8;8,8;11,5;7,6;25,0;65,1;55,8;2,6;6,7;33,3;9,7;6,1;2,2;2,7;1,2;-14,2;12570;33360;2,7
44;618356;1406603;22910;59,5;10,1;17,9;11,3;10,9;9,6;6,7;7,2;5,0;23,6;75,8;68,0;3,0;4,8;26,8;8,9;5,4;2,1;2,2;1,1;-16,9;13110;38310;2,9
45;288275;661425;22050;60,0;13,3;21,8;16,7;16,0;12,0;8,5;6,5;5,2;29,1;71,9;64,9;2,8;4,2;30,4;8,2;5,9;2,4;2,3;1,2;-16,4;12050;36880;3,1
46;79972;164098;20940;50,1;14,8;23,7;17,1;17,4;15,7;10,9;12,7;9,9;28,5;57,7;48,1;2,7;6,9;41,1;10,5;5,5;1,7;2,7;1,1;-14,8;11600;35030;3,0
47;148085;319643;20110;47,6;16,8;23,5;19,9;19,4;16,7;12,7;14,1;10,2;31,0;62,7;53,2;3,2;6,3;35,4;9,8;6,7;2,1;3,1;1,5;-14,6;11210;33850;3,0
48;33397;70295;20550;49,0;14,7;21,2;16,4;15,1;14,9;11,1;15,1;10,1;25,4;63,5;53,1;2,4;8,0;34,4;10,2;6,1;2,0;2,9;1,2;-14,2;11660;33090;2,8
49;342139;793568;21300;51,8;11,4;19,9;13,4;12,6;11,0;7,1;7,4;5,0;26,0;71,6;63,4;2,8;5,4;29,1;8,1;6,1;2,5;2,3;1,3;-14,9;12670;34620;2,7
50;225657;488351;21250;51,6;11,4;16,5;13,2;13,3;11,4;8,0;9,7;6,2;22,7;65,6;56,7;2,4;6,5;34,7;8,7;5,6;2,0;2,5;1,1;-14,6;12690;34560;2,7
51;244800;540412;21750;58,3;14,5;26,4;18,4;16,5;13,1;8,7;7,4;5,0;28,0;73,4;61,3;2,6;9,5;27,9;10,4;6,1;2,1;2,6;1,4;-17,8;11640;38730;3,3
52;78315;165951;20420;49,6;14,8;22,4;19,0;18,1;13,8;10,1;10,7;7,9;29,7;63,1;54,9;2,6;5,6;36,0;8,1;6,8;2,2;3,2;1,4;-14,0;11760;32630;2,8
53;130020;299760;21000;50,2;11,3;17,4;13,1;12,2;11,1;7,7;9,0;5,9;25,5;69,0;61,0;2,3;5,7;30,6;9,0;5,7;2,6;2,0;1,1;-14,3;12710;33030;2,6
